0	0
0.2	10.608
0.4	19.664
0.6	27.216
0.8	33.312
1	38
1.2	41.328
1.4	43.344
1.6	44.096
1.8	43.632
2	42
2.2	39.248
2.4	35.424
2.6	30.576
2.8	24.752
3	18
3.2	10.368
3.4	1.904
3.6	-7.344
3.8	-17.328
4	-28
4.2	-39.312
4.4	-51.216
4.6	-63.664
4.8	-76.608
5	-90
5.2	-103.792
5.4	-117.936
5.6	-132.384
5.8	-147.088
6	-162
6.2	-177.072
6.4	-192.256
6.6	-207.504
6.8	-222.768
7	-238
7.2	-253.152
7.4	-268.176
7.6	-283.024
7.8	-297.648
8	-312
8.2	-326.032
8.4	-339.696
8.6	-352.944
8.8	-365.728
9	-378
9.2	-389.712
9.4	-400.816
9.6	-411.264
9.8	-421.008
10	-430
10.2	-438.192
10.4	-445.536
10.6	-451.984
10.8	-457.488
11	-462
11.2	-465.472
11.4	-467.856
11.6	-469.104
11.8	-469.168
12	-468
12.2	-465.552
12.4	-461.776
12.6	-456.624
12.8	-450.048
13	-442
13.2	-432.432
13.4	-421.296
13.6	-408.544
13.8	-394.128
14	-378
14.2	-360.112
14.4	-340.416
14.6	-318.864
14.8	-295.408
15	-270
15.2	-242.592
15.4	-213.136
15.6	-181.584
15.8	-147.888
16	-112
16.2	-73.872
16.4	-33.456
16.6	9.296
16.8	54.432
17	102
17.2	152.048
17.4	204.624
17.6	259.776
17.8	317.552
18	378
18.2	441.168
18.4	507.104
18.6	575.856
18.8	647.472
19	722
19.2	799.488
19.4	879.984
19.6	963.536
19.8	1050.192
